ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0016358	dendrite development	224	-0.4844996065615614	-2.314964655840927	1e-10	3.126666666666667e-8	2.20140350877193e-8	5050	tags=46%, list=23%, signal=36%	DHX36/CRKL/NLGN1/ANKRD27/HPRT1/SRGAP2/ANAPC2/CAMK1D/PAK3/FOXO6/SHANK3/EPHA4/DSCAM/MAPKAPK5/CDC42/FAT3/FARP1/FLRT1/CTNNA2/SDK1/ASAP1/TBC1D24/MAPK8IP2/RAB21/CPEB3/RAPGEF2/HECW2/NSMF/DIP2A/TRPC5/LRP8/PARP6/MECP2/HECW1/CARM1/ZDHHC15/SRCIN1/CELSR2/KIF1A/PPFIA2/PPP1R9B/DPYSL5/CDK5R1/LLPH/CAPRIN1/KLF7/HDAC2/MAP1A/EPHB2/CSMD3/ACTL6B/PRICKLE1/EZH2/ALK/CAMSAP2/DCLK1/SS18L1/CDKL5/IGF2BP1/SYNGAP1/TNIK/PTPRD/DLG4/IQSEC1/PREX2/TANC2/TRAK1/CUX2/SEMA4D/PREX1/EIF4G2/ARHGAP33/NLGN2/GHRL/CHRNA7/KIDINS220/VLDLR/WNT7A/DBN1/MAP6/STRN/PHACTR1/IL1RAPL1/LZTS1/DAB2IP/PAFAH1B1/SEMA3A/PTPRS/FYN/GSK3B/ABI2/ADGRB3/PAK2/TIAM1/DCC/CTNND2/BCL11A/MAP1B/SEZ6/SLITRK5/EPHB1/MAP2/NEDD4L/DAB1
GO:0050770	regulation of axonogenesis	155	-0.5040626997228851	-2.280134757814878	1e-10	3.126666666666667e-8	2.20140350877193e-8	3127	tags=38%, list=14%, signal=33%	NTRK2/DIP2B/RTN4R/LRRC4C/PLXNA4/PLXNA3/CDH2/ULK1/MAPT/ROBO1/SEMA4A/EPHB2/ISLR2/SEMA6C/CDH4/MACF1/ULK2/SEMA4G/EFNB3/SLITRK1/BMPR2/SPP1/CDKL5/SYNGAP1/RGMA/GDI1/TRAK1/SEMA4D/ARHGAP35/WNT3/EIF4G2/BRAF/PLXNA1/WNT7A/MAP6/L1CAM/BRSK1/NIN/BRSK2/ROBO2/PAFAH1B1/SEMA3A/PTPRS/CNTN2/SEMA5A/GSK3B/DRAXIN/PAK2/TIAM1/ADNP/DCC/EFNA5/MAP1B/RND2/SEMA6A/POU3F2/MAP2/DAB1/TIAM2
GO:0048167	regulation of synaptic plasticity	187	-0.4795843845846705	-2.235357144041577	1e-10	3.126666666666667e-8	2.20140350877193e-8	4782	tags=42%, list=22%, signal=33%	HMGCR/SERPINE2/ANAPC2/CBLN1/SHANK3/SLC8A3/EPHA4/EIF2AK4/NPAS4/KCNQ3/YTHDF1/KAT2A/SLC1A1/YWHAG/PPP3CB/SLC8A2/ERC2/CPEB3/RAPGEF2/NSMF/SLC18A3/STAU1/SLC24A2/ERC1/MECP2/NTRK2/GRM2/CRHR2/SYT12/SLC38A1/KRAS/ADCY8/MAPT/MCTP1/MAP1A/CPLX2/EPHB2/S100B/RIMS4/SHISA7/RASGRF1/SYNGAP1/SHISA9/DLG4/RAB3A/PRKCG/JPH4/CHRNA7/BRAF/CYP46A1/KCNB1/GRM5/SSH1/NSG1/SORCS3/DBN1/VAMP2/BRSK1/NETO1/LZTS1/TSHZ3/GRIN1/CNTN2/GSK3B/SHANK2/NF1/IGSF11/GRIN2C/STXBP1/KCNJ10/GRIA1/KMT2A/MAP1B/EIF4EBP2/KIT/GRIN2B/ADCY1/GFAP
GO:0010975	regulation of neuron projection development	432	-0.42521247874824086	-2.155991225754632	1e-10	3.126666666666667e-8	2.20140350877193e-8	3285	tags=32%, list=15%, signal=28%	TRPC5/LRP8/PARP6/SCN1B/TENM3/HECW1/NTRK2/CARM1/DIP2B/RTN4R/LRIG2/ZDHHC15/PLPPR5/SRCIN1/SF3A2/ADCY6/LRRC4C/KIF1A/PPFIA2/SPOCK1/PRAG1/RTN4RL1/KDM1A/PLXNA4/IGF1R/GPC2/PLXNA3/CDH2/DPYSL5/CDK5R1/ULK1/FEZ1/ENC1/CNR1/CAPRIN1/MAPT/ROBO1/HDAC2/SEMA4A/EPHB2/ISLR2/CSMD3/SEMA6C/NCS1/CDH4/EZH2/MACF1/ALK/ULK2/CAMSAP2/SEMA4G/CBFA2T2/EFNB3/SS18L1/SLITRK1/BMPR2/SPP1/ACAP3/CCDC88A/MYCBP2/CDKL5/SYNGAP1/EP300/DPYSL3/RGMA/TNIK/PTPRD/ALKAL2/GDI1/TANC2/FUT9/TRAK1/DENND5A/CUX2/SEMA4D/ARHGAP35/PREX1/WNT3/EIF4G2/ARHGAP33/PLK5/BRAF/KIDINS220/VLDLR/PLXNA1/WNT7A/DBN1/MAP6/RTN4RL2/PTPRG/TRIM67/L1CAM/BRSK1/IL1RAPL1/NIN/BRSK2/PUM2/RAPGEF1/LZTS1/DAB2IP/ROBO2/PAFAH1B1/SEMA3A/ATP1B2/LRRC7/NRCAM/PTPRS/KAT2B/CNTN2/NOVA2/SEMA5A/FYN/GSK3B/ABI2/ABL2/EFNB2/ADGRB3/DRAXIN/PAK2/TIAM1/ADNP/DCC/EFNA5/STX1B/BCL11A/CRMP1/MAP1B/SEZ6/RND2/NR2F1/SEMA6A/TUBB2B/POU3F2/ROBO3/MAP2/NTRK3/NEDD4L/DAB1/TIAM2/GFAP
GO:0050804	modulation of chemical synaptic transmission	438	-0.421853980760079	-2.145551408111039	1e-10	3.126666666666667e-8	2.20140350877193e-8	4782	tags=40%, list=22%, signal=32%	HMGCR/SERPINE2/NEFL/ANAPC2/CBLN1/ROR2/NPS/SHANK3/SLC8A3/EPHA4/NGFR/EIF2AK4/NPAS4/KCNQ3/YTHDF1/KAT2A/DKK1/SNCAIP/SLC1A1/DNM1/NTNG2/YWHAG/TPRG1L/BACE1/TBC1D24/PPP3CB/FRRS1L/SLC8A2/ERC2/MAPK8IP2/CPEB3/GRM1/RAPGEF2/CLSTN3/GRIA2/PFN2/NSMF/EPHA7/SLC18A3/CACNA1B/STAU1/F2R/SLC24A2/CACNG5/CACNA1A/ADRB2/LRP8/GRID1/ERC1/MECP2/GPR158/SYT1/CASK/NTRK2/STXBP5/GRM2/LRRC4C/PPFIA2/NLGN4X/ADRA1A/CRHR2/SYT12/SLC38A1/DLGAP3/CDH2/APBA1/CNR1/KRAS/ADCY8/TMEM108/ADRA2A/MAPT/MCTP1/RAP1BL/HIP1/GRIK5/CAMKV/MAP1A/P2RY1/CLSTN1/CPLX2/EPHB2/ATP1A2/PLCG1/UNC13A/S100B/OPHN1/RIMS4/SHISA7/SYN3/OTOF/CACNG4/DGKI/EFNB3/NMU/USP46/RASGRF1/KCTD13/CDKL5/SYNGAP1/PCDH17/SHISA9/INA/PTPRD/DLG4/ATP2A2/CLSTN2/RAB3A/CHRNB4/PRKCG/CUX2/NLGN3/PRKCB/JPH4/NLGN2/GHRL/CHRNA7/BRAF/DLGAP1/PRKACA/CYP46A1/KCNB1/GRM5/SSH1/NSG1/NRG3/SORCS3/WNT7A/DBN1/SYN1/VAMP2/BRSK1/NETO1/SEPTIN5/LZTS1/CACNG3/GABBR1/TSHZ3/PAFAH1B1/GRIN1/PTPRS/CNTN2/CACNG2/FYN/GSK3B/SLC6A4/SHANK2/NF1/ADNP/APBA2/DCC/IGSF11/DLGAP4/GIT1/GRIN2C/STXBP1/KCNJ10/STX1B/GRIA1/ASIC1/KMT2A/MAP1B/TRIO/GRM3/CACNG8/EIF4EBP2/KIT/GRIN2B/TUBB2B/SLC4A8/EPHB1/CACNG7/ADCY1/GFAP
GO:0099177	regulation of trans-synaptic signaling	439	-0.42114544455907305	-2.1408359964365404	1e-10	3.126666666666667e-8	2.20140350877193e-8	4782	tags=40%, list=22%, signal=32%	HMGCR/SERPINE2/NEFL/ANAPC2/CBLN1/ROR2/NPS/SHANK3/SLC8A3/EPHA4/NGFR/EIF2AK4/NPAS4/KCNQ3/YTHDF1/KAT2A/DKK1/SNCAIP/SLC1A1/DNM1/NTNG2/YWHAG/TPRG1L/BACE1/TBC1D24/PPP3CB/FRRS1L/SLC8A2/ERC2/MAPK8IP2/CPEB3/GRM1/RAPGEF2/CLSTN3/GRIA2/PFN2/NSMF/EPHA7/SLC18A3/CACNA1B/STAU1/F2R/SLC24A2/CACNG5/CACNA1A/ADRB2/LRP8/GRID1/ERC1/MECP2/GPR158/SYT1/CASK/NTRK2/STXBP5/GRM2/LRRC4C/PPFIA2/NLGN4X/ADRA1A/CRHR2/SYT12/SLC38A1/DLGAP3/CDH2/APBA1/CNR1/KRAS/ADCY8/TMEM108/ADRA2A/MAPT/MCTP1/RAP1BL/HIP1/GRIK5/CAMKV/MAP1A/P2RY1/CLSTN1/CPLX2/EPHB2/ATP1A2/PLCG1/UNC13A/S100B/OPHN1/RIMS4/SHISA7/SYN3/OTOF/CACNG4/DGKI/EFNB3/NMU/USP46/RASGRF1/KCTD13/CDKL5/SYNGAP1/PCDH17/SHISA9/INA/PTPRD/DLG4/ATP2A2/CLSTN2/RAB3A/CHRNB4/PRKCG/CUX2/NLGN3/PRKCB/JPH4/NLGN2/GHRL/CHRNA7/BRAF/DLGAP1/PRKACA/CYP46A1/KCNB1/GRM5/SSH1/NSG1/NRG3/SORCS3/WNT7A/DBN1/SYN1/VAMP2/BRSK1/NETO1/SEPTIN5/LZTS1/CACNG3/GABBR1/TSHZ3/PAFAH1B1/GRIN1/PTPRS/CNTN2/CACNG2/FYN/GSK3B/SLC6A4/SHANK2/NF1/ADNP/APBA2/DCC/IGSF11/DLGAP4/GIT1/GRIN2C/STXBP1/KCNJ10/STX1B/GRIA1/ASIC1/KMT2A/MAP1B/TRIO/GRM3/CACNG8/EIF4EBP2/KIT/GRIN2B/TUBB2B/SLC4A8/EPHB1/CACNG7/ADCY1/GFAP
GO:0009615	response to virus	335	0.4289440417851589	2.138572886900493	1e-10	3.126666666666667e-8	2.20140350877193e-8	3765	tags=31%, list=17%, signal=26%	CXCL12/IFIT1/DDIT4/BST2/NMB/ACTA2/IFI16/ISG15/WDFY4/OAS1/IFITM3/STING1/IFI44L/APOB/IFITM1/PARP9/DTX3L/NMI/IRF2/ISG20/ZC3H12A/PMAIP1/DHX58/IFI6/IFIT2/VAMP8/DDX60L/APOBEC3C/RSAD2/SAMHD1/F2RL1/GBP2/TRIM21/ITGB6/NT5C3A/ENO1/IRF1/TRIM65/IFI44/BNIP3/MX1/APOBEC3G/SPON2/BCL3/BCL2L1/JAK1/TRIM38/GBP1/MICA/IFI27/APOBEC3F/GARIN5A/PIM2/PQBP1/IFNLR1/GBP5/ZDHHC12/TNFSF4/CD40/TNFAIP3/TSPAN32/STAT1/TRAF3IP2/POLR3G/DMBT1/ZNF175/IFIH1/CSNK1A1/KCNJ8/IFNGR1/MIR130A/USP18/IRF5/HERC5/IKBKE/OAS3/TRIM25/GBP3/CXCR4/PHB1/NPC2/IFIT5/TRIM56/NLRX1/PYCARD/ATG5/PLSCR1/HMGA2/DDX60/CDK6/AIM2/MOV10/NFKB1/LGALS8/IRAK3/ATG16L1/SLFN11/IL23A/BNIP3L/AIMP1/BECN1/MUL1/DDX3X/FADD
GO:0051607	defense response to virus	253	0.43905094169914827	2.1206253822853327	1e-10	3.126666666666667e-8	2.20140350877193e-8	4090	tags=34%, list=19%, signal=28%	IFIT1/DDIT4/BST2/NMB/IFI16/ISG15/OAS1/IFITM3/STING1/IFI44L/IFITM1/PARP9/DTX3L/IRF2/ISG20/ZC3H12A/PMAIP1/DHX58/IFI6/IFIT2/VAMP8/DDX60L/APOBEC3C/RSAD2/SAMHD1/F2RL1/GBP2/TRIM21/NT5C3A/IRF1/TRIM65/BNIP3/MX1/APOBEC3G/SPON2/BCL2L1/TRIM38/GBP1/MICA/IFI27/APOBEC3F/GARIN5A/PQBP1/IFNLR1/GBP5/ZDHHC12/CD40/TNFAIP3/TSPAN32/STAT1/TRAF3IP2/POLR3G/DMBT1/ZNF175/IFIH1/CSNK1A1/KCNJ8/USP18/IRF5/HERC5/IKBKE/OAS3/TRIM25/GBP3/PHB1/IFIT5/TRIM56/NLRX1/PYCARD/ATG5/PLSCR1/DDX60/AIM2/MOV10/ATG16L1/SLFN11/IL23A/BNIP3L/AIMP1/BECN1/MUL1/FADD/ELMOD2/NCK1/SHFL/DDX21/SELENOK
GO:0140546	defense response to symbiont	253	0.43905094169914827	2.1206253822853327	1e-10	3.126666666666667e-8	2.20140350877193e-8	4090	tags=34%, list=19%, signal=28%	IFIT1/DDIT4/BST2/NMB/IFI16/ISG15/OAS1/IFITM3/STING1/IFI44L/IFITM1/PARP9/DTX3L/IRF2/ISG20/ZC3H12A/PMAIP1/DHX58/IFI6/IFIT2/VAMP8/DDX60L/APOBEC3C/RSAD2/SAMHD1/F2RL1/GBP2/TRIM21/NT5C3A/IRF1/TRIM65/BNIP3/MX1/APOBEC3G/SPON2/BCL2L1/TRIM38/GBP1/MICA/IFI27/APOBEC3F/GARIN5A/PQBP1/IFNLR1/GBP5/ZDHHC12/CD40/TNFAIP3/TSPAN32/STAT1/TRAF3IP2/POLR3G/DMBT1/ZNF175/IFIH1/CSNK1A1/KCNJ8/USP18/IRF5/HERC5/IKBKE/OAS3/TRIM25/GBP3/PHB1/IFIT5/TRIM56/NLRX1/PYCARD/ATG5/PLSCR1/DDX60/AIM2/MOV10/ATG16L1/SLFN11/IL23A/BNIP3L/AIMP1/BECN1/MUL1/FADD/ELMOD2/NCK1/SHFL/DDX21/SELENOK
GO:0007409	axonogenesis	430	-0.4076417053012935	-2.067930857236677	1e-10	3.126666666666667e-8	2.20140350877193e-8	4749	tags=39%, list=22%, signal=31%	NEFL/LIMK1/ANAPC2/PTPN11/PAK3/KEL/CDK5R2/ZFYVE27/NPR2/SEMA4C/EPHA4/NGFR/TTL/DSCAM/WDR47/APLP1/NEO1/SMAD4/TBCE/YTHDF1/SLC9A6/NTNG2/CTNNA2/KIAA1755/PPP3CB/FEZF1/RAB21/SLITRK3/SEMA6B/PAK1/APBB1/SOS1/BARHL2/SEMA5B/EPHA7/CREB1/LHX9/OLFM1/TRPC5/DOCK7/SCN1B/NTRK2/LRTM1/DIP2B/RTN4R/NUMBL/LRRC4C/UNC5C/PLXNA4/PTPRZ1/B4GALT5/KIF5A/IGF1R/PLXNA3/CDH2/DPYSL5/CDK5R1/ULK1/FEZ1/MAPT/ATOH1/KLF7/ROBO1/DLX5/KIF5C/MAP1A/SEMA4A/EPHB2/ISLR2/UNC5A/GLI2/SEMA6C/PRICKLE1/S100B/CDH4/OPHN1/MACF1/ACTB/SIN3A/ULK2/SEMA4G/BMPR1B/LHX2/DCLK1/ADARB1/EFNB3/NECTIN1/EPHA5/SLITRK1/SPAST/BMPR2/SPP1/POU4F1/B4GALT6/MYCBP2/CDKL5/SYNGAP1/EVX1/EFNA2/RGMA/GDI1/RAB3A/CYFIP2/NKX6-1/TRAK1/SEMA4D/ARHGAP35/NLGN3/WNT3/EIF4G2/BOC/BRAF/PLXNA1/WNT7A/NFIB/RAPH1/MAP6/L1CAM/BRSK1/NIN/BRSK2/NRXN3/GLI3/LHX4/ROBO2/NFASC/PAFAH1B1/SEMA3A/NRCAM/PTPRS/CNTN2/ARHGEF25/VAX2/NOVA2/SEMA5A/FYN/GSK3B/ARK2C/EFNB2/DRAXIN/PAK2/TIAM1/ADNP/DCC/NCAM1/FOXD1/STXBP1/KALRN/EFNA5/MAP1B/TRIO/SLITRK5/ANK3/BCL11B/RND2/SEMA6A/TUBB2B/EPHB1/HOXA2/POU3F2/ROBO3/ADCY1/MAP2/GBX2/DAB1/TIAM2/AUTS2
GO:0061564	axon development	486	-0.39820893854356193	-2.046415888370909	1e-10	3.126666666666667e-8	2.20140350877193e-8	4749	tags=38%, list=22%, signal=30%	NEFL/LIMK1/ANAPC2/PTPN11/PAK3/KEL/CDK5R2/ZFYVE27/NPR2/SEMA4C/EPHA4/NGFR/TTL/DSCAM/WDR47/APLP1/NEO1/NREP/SMAD4/TBCE/YTHDF1/SLC9A6/NTNG2/CTNNA2/KIAA1755/TBC1D24/PPP3CB/FEZF1/RAB21/SLITRK3/SEMA6B/PAK1/APBB1/SOS1/BARHL2/SEMA5B/EPHA7/CREB1/LHX9/OLFM1/NEUROG2/TRPC5/DOCK7/SCN1B/NEUROD4/NTRK2/LRTM1/DIP2B/RTN4R/NUMBL/LRIG2/LRRC4C/RTN4RL1/NMNAT2/UNC5C/PLXNA4/PTPRZ1/B4GALT5/KIF5A/IGF1R/PLXNA3/CDH2/DPYSL5/CDK5R1/ULK1/FEZ1/CNR1/MAPT/ATOH1/KLF7/ROBO1/DLX5/KIF5C/MAP1A/SEMA4A/EPHB2/ISLR2/UNC5A/GLI2/SEMA6C/PRICKLE1/S100B/CDH4/OLIG1/OPHN1/MACF1/ACTB/SIN3A/ULK2/CAMSAP2/SEMA4G/BMPR1B/LHX2/DCLK1/ADARB1/EFNB3/NECTIN1/EPHA5/SLITRK1/SPAST/BMPR2/SPP1/POU4F1/B4GALT6/MYCBP2/CDKL5/SYNGAP1/EVX1/EFNA2/RGMA/GDI1/RAB3A/CYFIP2/NKX6-1/TRAK1/SEMA4D/ARHGAP35/NLGN3/WNT3/EIF4G2/BOC/VASH2/OLIG2/BRAF/PLXNA1/WNT7A/NFIB/RAPH1/MAP6/RTN4RL2/L1CAM/BRSK1/NIN/BRSK2/NRXN3/PUM2/GLI3/LHX4/ROBO2/NFASC/PAFAH1B1/SEMA3A/NRCAM/PTPRS/CNTN2/PLP1/ARHGEF25/VAX2/NOVA2/SEMA5A/FYN/GSK3B/OLIG3/ARK2C/EFNB2/DRAXIN/PAK2/TIAM1/ADNP/DCC/NCAM1/FOXD1/STXBP1/KALRN/EFNA5/MAP1B/TRIO/SLITRK5/ANK3/BCL11B/RND2/SEMA6A/TUBB2B/EPHB1/HOXA2/POU3F2/ROBO3/ADCY1/MAP2/GBX2/DAB1/TIAM2/AUTS2
GO:0002683	negative regulation of immune system process	382	0.3989486679742188	2.0233439025256286	1e-10	3.126666666666667e-8	2.20140350877193e-8	3836	tags=32%, list=18%, signal=27%	CXCL12/AHR/BST2/SYK/APOA1/GPNMB/IFI16/ISG15/OAS1/FSTL3/FOXF1/PLCL2/NMI/HLX/CCL2/SOCS1/ZC3H12A/DHX58/GPR108/PTPN6/PAWR/SAMSN1/DUSP1/SAMHD1/F2RL1/CD46/JAK3/PDE5A/TRIM21/HLA-E/SMPDL3B/HLA-A/IRF1/TCTA/GAL/THBS1/CEACAM1/TGFB2/CD55/HCK/FURIN/ACP5/ELF1/GREM1/IL7R/GBP1/DLG1/ID2/HLA-DOA/PTGER4/MICA/TAPBPL/EZR/HLA-DRB1/MDK/PARP14/SPINK5/ADTRP/LAPTM5/CD200R1/GCSAM/CCL28/GATA2/INHA/ZDHHC12/PRNP/PDCD1LG2/TNFSF4/ZBTB7B/TNFAIP3/INHBA/TSPAN32/HSPA9/RASSF5/BANK1/ADA/RABGEF1/SERPINB4/BCL6/HMOX1/LAG3/FN1/HLA-DOB/CSNK1A1/MKRN2/MIR130A/USP18/TIGIT/OAS3/DUSP3/DAPL1/BMP5/CUL4A/CEBPB/BMP4/NLRX1/PLK2/ATG5/PIK3R1/PADI2/PARP3/PPARG/CBFB/PTPN2/CDK6/GPER1/LRFN5/SHH/SDC4/IRAK3/PIBF1/IL4R/TNFRSF21/CD274/CD74/GPR68/MUL1/FBN1/FADD/FCRLB/LPXN
GO:0009617	response to bacterium	443	0.3932914164543493	2.009365417012594	1e-10	3.126666666666667e-8	2.20140350877193e-8	3580	tags=32%, list=16%, signal=27%	ANKRD1/AHR/CXCL1/EDN1/ADM/SIGIRR/SYK/CLDN3/IL12RB2/ZFP36/SERPINE1/ISG15/PTGER2/OAS1/LY96/CXCL2/CASP4/C5AR1/TNIP1/HTN1/ANXA3/PDCD4/CCL2/CXCL3/ZC3H12A/NFKBIZ/DHX58/CAV1/SBNO2/OCIAD2/CLDN1/TFEB/RBCK1/CXCL8/NAALADL2/F2RL1/CDH1/GBP2/CYBA/SCNN1B/NFKBIA/SCN7A/HLA-E/FOS/PCK2/HLA-A/TUSC2/TREM1/MGST2/EMILIN2/CD55/IFI44/THBD/BNIP3/HCK/SPON2/BCL3/NOS2/PTGS2/ACP5/EVPL/IL7R/GBP1/LPL/CXCL6/ADAMTS13/LIAS/WFDC2/PTGER4/ABCD2/MICA/FAM20A/TMF1/HLA-DRB1/TENT5A/CA5B/SPINK5/SHC1/GBP5/PTGIR/HPGD/PLAC8/SMAD6/PDCD1LG2/TNFSF4/CD40/TNFAIP3/XBP1/IL10RA/TRDN/WFDC3/PCK1/DMBT1/CD1D/ROMO1/BANK1/IL6R/LOXL1/CHMP5/KCNJ8/SNX3/USP18/HADHB/IRF5/SLPI/PRDX3/OAS3/HERC6/WNT5A/TNFRSF11A/PCSK1/GBP3/CCDC80/B2M/CEBPB/FOSL2/VCAM1/TSPO/PYCARD/HMCN1/CFB/ADAMTS9/OTUD5/FMO1/C3/NFKB1/GCH1/CD24/IRAK3/H2BC4/IRAK4/GJB2/MIR342/CHGA/SLC17A5/GSDMD/RNF213/CD274/NAGLU/IL23A
GO:0042254	ribosome biogenesis	318	0.4038460488847178	2.007596505287621	1e-10	3.126666666666667e-8	2.20140350877193e-8	7608	tags=48%, list=35%, signal=32%	ISG20/RSL1D1/RPS15/BUD23/MRM3/RPS12/NOP14/MRPS7/SBDS/PIH1D1/NIP7/RPSA2/GTPBP4/SDAD1/EXOSC7/SNU13/PNO1/ZNF622/SDE2/RPF2/NPM3/EXOSC1/DNTTIP2/TSR2/NOA1/WDR43/METTL25B/NSA2/UTP3/POP4/SHQ1/RRN3/RPF1/RPP38/BRIX1/TFB2M/DDX31/RIOX2/DDX10/C1D/DAPL1/NOL7/EBNA1BP2/CUL4A/RPL26L1/GNL2/UTP11/NSUN4/ZCCHC4/MTERF4/IMP3/RBM34/RPS6/MTERF3/EFL1/NIFK/RPL5/MTREX/PIN4/RPL11/UTP25/RSL24D1/WDR3/NOP10/RPP25/RPS27L/METTL18/DDX3X/RPS8/FTSJ3/RPS25/NGDN/MAK16/RPS5/RPL26/ABCE1/KRI1/DDX21/TFB1M/PIH1D2/RPL35A/RRP7BP/MRM1/DCAF13/REXO4/NVL/GTPBP10/RIOK1/NOL11/RPS24/NMD3/NOLC1/WDR36/MPHOSPH10/C1QBP/BMS1/EIF2A/LYAR/NSUN3/CINP/METTL15/RBIS/PAK1IP1/RPL27/RIOK2/FCF1/DIS3/ERI2/EXOSC9/UTP6/METTL5/RPS19BP1/RRS1/SRFBP1/EIF5/TRMT112/USP36/UTP18/TSR1/RPS19/KRR1/MPHOSPH6/RPL38/DDX28/RRP1/RPS14/RRP12/MALSU1/POP5/ABT1/NHP2/RRP36/RPS13/IMP4/RPS21/WDR74/RPS15A/METTL15P1/RCL1/NGRN/UTP15/ERI3/UTP23/MRPL20/NOP16/ISG20L2/EIF1AX/RPS11/MYBBP1A/MRPL44/XRCC5/SURF6/XRN2/ZNHIT3
GO:0050808	synapse organization	451	-0.39016571641655123	-1.9925929357062937	1e-10	3.126666666666667e-8	2.20140350877193e-8	5145	tags=40%, list=24%, signal=31%	MEF2C/GPM6A/FBXO45/APBB2/PPFIA3/DHX36/DRD2/PCDHB2/CRKL/SPTBN2/AKT1/NLGN1/PALM/PCDHGC5/SRGAP2/PCDHB3/NEFL/ANAPC2/CBLN1/PAK3/ROR2/SHANK3/SLC8A3/EPHA4/WASF3/DSCAM/NPAS4/TUBA1A/ADGRF1/CDC42/DKK1/FARP1/SLC1A1/NTNG2/CNKSR2/PCDHGC4/CTNNA2/SDK1/ASAP1/ALS2/YWHAZ/FRRS1L/SLC8A2/ERC2/OGT/SLITRK3/PCDHB11/KIRREL3/CLSTN3/PFN2/ADGRL3/LGI2/EPHA7/SLC18A3/DIP2A/STAU1/F2R/GABRA2/LRP8/VHL/GRID1/ERC1/MECP2/GPR158/ITGAM/NTRK2/ZDHHC15/SRCIN1/ARHGEF9/LRRC4C/KIF1A/PPFIA2/NLGN4X/PCDHB9/PCDHB4/PLXNA4/IGF1R/DLGAP3/CAP2/CDH2/CHD4/ABHD17C/CDK5R1/TMEM108/CAPRIN1/MAPT/PCDHB5/BCAN/CAMKV/SEMA4A/CLSTN1/PCLO/EPHB2/LRFN3/TSC1/LRRN1/ERBB4/UNC13A/ADGRL1/OPHN1/ACTB/PCDHB6/CTTNBP2/SHISA7/HIP1R/GABRB3/EFNB3/NECTIN1/SLITRK1/IL1RAPL2/POU4F1/TUBB/FZD5/MYCBP2/CDKL5/SYNGAP1/PCDH17/FZD9/INA/PTPRD/DLG4/TANC2/CLSTN2/RAB3A/WASF1/CUX2/SEMA4D/NLGN3/ARHGAP33/NLGN2/GHRL/LRRTM3/CHRNA7/NRXN2/CACNB1/GRM5/SSH1/NRG3/WNT7A/DBN1/UNC13B/SYN1/L1CAM/IL1RAPL1/LZTS1/DNER/DAB2IP/THBS2/SETD5/ROBO2/PAFAH1B1/NRCAM/PTPRS/CNTN2/CACNG2/FYN/CACNB3/ABI2/SHANK2/DRP2/ADGRB3/NF1/TIAM1/ADNP/GPC4/SRPX2/NOS1AP/EFNA5/GRIA1/CTNND2/MAP1B/SEZ6/SLITRK5/ANK3/ADD2/BSN/GRIN2B/SORT1/EPHB1/ST8SIA2/PCDHB16
GO:0007416	synapse assembly	189	-0.4610647119756356	-2.1511764582230244	2.7443313443810346e-10	8.044321253216907e-8	5.6637943600811215e-8	5145	tags=46%, list=24%, signal=36%	MEF2C/GPM6A/FBXO45/DRD2/PCDHB2/CRKL/SPTBN2/NLGN1/SRGAP2/PCDHB3/CBLN1/SHANK3/DSCAM/NPAS4/ADGRF1/DKK1/FARP1/NTNG2/SDK1/OGT/SLITRK3/PCDHB11/KIRREL3/CLSTN3/ADGRL3/LGI2/EPHA7/GABRA2/MECP2/NTRK2/ARHGEF9/NLGN4X/PCDHB9/PCDHB4/CDH2/CHD4/PCDHB5/SEMA4A/CLSTN1/PCLO/EPHB2/LRFN3/LRRN1/ERBB4/PCDHB6/GABRB3/EFNB3/NECTIN1/SLITRK1/IL1RAPL2/POU4F1/FZD5/MYCBP2/PCDH17/PTPRD/CLSTN2/CUX2/SEMA4D/NLGN3/NLGN2/GHRL/LRRTM3/NRXN2/NRG3/WNT7A/IL1RAPL1/LZTS1/DNER/THBS2/SETD5/ROBO2/NRCAM/PTPRS/SHANK2/ADGRB3/ADNP/GPC4/SRPX2/EFNA5/GRIA1/MAP1B/SLITRK5/ADD2/BSN/EPHB1/ST8SIA2/PCDHB16
