ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0033108	mitochondrial respiratory chain complex assembly	95	0.5774217100093049	2.607702059183673	1e-10	1.586170824850192e-8	1.0733486784700549e-8	7088	tags=79%, list=32%, signal=54%	TMEM223/SMIM20/NDUFAF1/NDUFA1/SDHAF2/CHCHD7/COX14/SDHAF1/NDUFAF6/TTC19/NDUFB5/SDHAF4/NDUFS3/NDUFB4/SCO1/SAMM50/UQCC1/NDUFB10/NDUFA2/IMMP2L/NDUFS5/DMAC1/NDUFAF3/COA5/TAFAZZIN/FASTKD3/NDUFB1/NDUFA5/NDUFA11/UQCC2/NDUFB8/SDHAF3/CHCHD4/SURF1/COX18/NDUFS2/OXA1L/NDUFC2/NUBPL/LYRM2/NDUFAB1/OMA1/NDUFAF7/COA1/NDUFA3/UQCC4/COA3/NDUFA8/NDUFS8/NDUFA10/NDUFC1/UQCRFS1/NDUFB3/NDUFS7/NDUFS4/NDUFB6/UQCC3/NDUFA6/NDUFB9/PET117/TIMM21/LYRM7/NDUFAF8/UQCC5/NDUFAF5/COA4/TFAM/TMEM126B/NDUFS1/NDUFB7/NDUFB2/FOXRED1/NDUFA13/ECSIT/COX17
GO:0016358	dendrite development	224	-0.5041237060171331	-2.497881031848679	1e-10	1.586170824850192e-8	1.0733486784700549e-8	3702	tags=39%, list=17%, signal=33%	DTNBP1/HDAC2/LLPH/MAP1A/CAPRIN1/ZDHHC15/IGSF9/HECW1/MAPK8IP2/EZH2/CSMD3/MECP2/HPRT1/KIF1A/LRP8/SHANK3/ASAP1/MEF2C/DCLK1/PPP1R9B/CARM1/TANC2/CDKL5/IQSEC1/ANAPC2/PTPRD/DLG4/PREX2/MAP1S/PARP6/TNIK/SRCIN1/PPFIA2/CUX2/SRGAP2/GHRL/EIF4G2/VLDLR/DIP2A/PREX1/STRN/SEMA4D/KIDINS220/TRAK1/PHACTR1/NLGN2/CHRNA7/PRICKLE1/IL1RAPL1/KLF7/FEZF2/SYNGAP1/DAB2IP/PAFAH1B1/ALK/EPHB2/CAMSAP2/CDK5R1/PAK2/ACTL6B/FLRT1/GSK3B/FYN/SEMA3A/ADGRB3/ABI2/IGF2BP1/WNT7A/SS18L1/MAP6/PTPRS/CELSR2/DBN1/SEZ6/MAP1B/DPYSL5/BCL11A/LZTS1/ARHGAP33/CTNND2/TIAM1/EPHB1/DCC/MAP2/SLITRK5/DAB1/NEDD4L
GO:0050770	regulation of axonogenesis	155	-0.5236648173729637	-2.4539060302511855	1e-10	1.586170824850192e-8	1.0733486784700549e-8	2964	tags=46%, list=14%, signal=40%	SMURF1/POU4F2/TRIM46/SEMA4A/MAPT/SEMA4G/LRRC4C/RTN4/SLITRK1/SLIT2/DIP2B/SLIT1/CDKL5/ANAPC2/SEMA6B/SPP1/MACF1/ULK2/GDI1/BRAF/CNTN2/PAK1/ULK1/EIF4G2/SEMA4C/L1CAM/SEMA4D/NTRK2/TRAK1/NTN1/ARHGAP35/BMPR2/ZFYVE27/BRSK1/PLXNA3/KEL/SYNGAP1/NIN/CDH4/PAFAH1B1/EPHB2/BRSK2/ROBO1/CDH2/WNT3/PAK2/SEMA5A/GSK3B/SEMA3A/EFNB3/SEMA6C/EFNA5/ROBO2/WNT7A/PLXNA1/NEFL/ADNP/MAP6/PTPRS/MAP1B/RGMA/ISLR2/SEMA5B/TIAM1/SEMA6A/DCC/POU3F2/MAP2/RND2/DAB1/TIAM2/DRAXIN
GO:0048813	dendrite morphogenesis	136	-0.524269655964105	-2.4107323709688493	1e-10	1.586170824850192e-8	1.0733486784700549e-8	3449	tags=38%, list=16%, signal=32%	CAPRIN1/ZDHHC15/HECW1/MAPK8IP2/HPRT1/KIF1A/LRP8/SHANK3/DCLK1/TANC2/CDKL5/ANAPC2/PTPRD/DLG4/PREX2/PARP6/TNIK/SRCIN1/PPFIA2/CUX2/VLDLR/DIP2A/SEMA4D/KIDINS220/TRAK1/PHACTR1/CHRNA7/IL1RAPL1/KLF7/PAFAH1B1/EPHB2/CDK5R1/GSK3B/FYN/SEMA3A/ADGRB3/ABI2/IGF2BP1/WNT7A/SS18L1/MAP6/CELSR2/DBN1/DPYSL5/LZTS1/ARHGAP33/CTNND2/TIAM1/EPHB1/MAP2/SLITRK5/NEDD4L
GO:0007409	axonogenesis	430	-0.4517515858312626	-2.3711147288007037	1e-10	1.586170824850192e-8	1.0733486784700549e-8	4468	tags=41%, list=20%, signal=34%	ARHGEF40/PLXNB1/DSCAM/SLITRK3/S100B/CREB1/TNR/ENAH/BARHL2/UNC5C/SCN1B/SZT2/KIF5A/DSCAML1/FBXO45/OLFM1/PLXNA4/RAB21/SMURF1/UNC5A/POU4F2/TRIM46/SEMA4A/KIAA1755/NUMBL/WDR47/MAP1A/MAPT/SEMA4G/LRRC4C/SMAD4/EPHB6/IGSF9/RTN4/SLITRK1/APBB1/DCLK1/SOS1/NECTIN1/SLIT2/DIP2B/B4GALT6/SLIT1/NOG/LHX2/DLX5/CDKL5/PPP3CB/EVX1/ANAPC2/ADGRB1/APLP1/SPAST/LRTM1/SEMA6B/ACTB/SIN3A/SPP1/MACF1/FZD3/MAP1S/ULK2/PRDM8/GDI1/DOCK7/BRAF/CNTN2/CYFIP2/RAB3A/FEZ1/PAK1/ULK1/ADARB1/NLGN3/EIF4G2/SEMA4C/NRXN3/L1CAM/NFIB/NGFR/ARX/MYCBP2/ATOH1/SEMA4D/NTRK2/OPHN1/GLI2/TRAK1/NTN1/ARHGAP35/BMPR2/PRICKLE1/ZFYVE27/BRSK1/KLF7/IGF1R/BMPR1B/PLXNA3/KEL/FEZF2/SYNGAP1/GLI3/NKX6-1/NIN/CDH4/LLGL1/NRCAM/PAFAH1B1/EPHB2/EFNA2/BRSK2/CDK5R1/ROBO1/NEO1/KIF5C/ARHGEF25/CDH2/WNT3/PAK2/SEMA5A/GSK3B/FYN/SEMA3A/EFNB3/RAPH1/NOTCH1/SEMA6C/EFNA5/STXBP1/NFASC/LHX4/BOC/VAX2/PAX6/PTCH1/FOXD1/ROBO2/WNT7A/PLXNA1/NEFL/EPHA5/ADNP/MAP6/PTPRS/ARK2C/NCAM1/TRIO/MAP1B/B4GALT5/ANK3/RGMA/DPYSL5/ISLR2/SEMA5B/POU4F1/TUBB2B/TIAM1/LHX1/SEMA6A/EPHB1/DCC/PTPRZ1/POU3F2/NOVA2/ADCY1/ROBO3/MAP2/RND2/BCL11B/GBX2/SLITRK5/EFNB2/KALRN/DAB1/HOXA2/TIAM2/AUTS2/DRAXIN
GO:0021537	telencephalon development	261	-0.4666973370385693	-2.3428685695908102	1e-10	1.586170824850192e-8	1.0733486784700549e-8	4333	tags=44%, list=20%, signal=36%	TNR/TUBB2A/SZT2/ZIC1/FBXO45/PLXNA4/CCDC85C/RTN4RL1/EZH1/WDR37/TACC2/NUMBL/WDR47/ATP1A2/KAT2A/EZH2/MECP2/HPRT1/RTN4/LRP8/SHANK3/KIRREL3/ARHGAP11B/SIX3/KCNA2/SLIT2/PPP1R9B/LHX2/SALL1/WDR62/DLX5/FAT4/CNTNAP2/CHD7/TUBA1A/H2AX/TACC3/KCNA3/TSC1/SEMA6B/SRD5A1/SLC32A1/KDM1A/PRDM8/ADGRG1/CNTN2/TACC1/FEZ1/SRGAP2/NFIB/ARX/ZSWIM6/ATOH1/NTRK2/CSNK2A2/PHACTR1/FOXP2/IGF1R/PLXNA3/FEZF2/DAB2IP/GLI3/EGFR/KIF14/NIN/PAFAH1B1/ALK/ATP1B2/RFX4/EPHB2/DCLK2/SKI/KCNC1/EFNA2/PAX5/BCAN/LEF1/CDK5R1/DLX2/ROBO1/NRG3/CORO1C/ATP2B4/CDH2/KDM2B/SUN2/ATAT1/GSK3B/ASPM/SEMA3A/NF1/MDGA1/ZIC3/PAX6/ZMIZ1/DLX1/AKIRIN2/IGF2BP1/KDM6B/ROBO2/NEFL/ATIC/HERC1/EPHA5/PTPRS/TUBB2B/SLC1A2/LHX1/POU3F2/ERBB4/BCL11B/SLITRK5/DAB1/POU3F3/DRAXIN/GRIA1
GO:0061564	axon development	486	-0.4385957779793743	-2.3328634889485254	1e-10	1.586170824850192e-8	1.0733486784700549e-8	4468	tags=40%, list=20%, signal=32%	ARHGEF40/PLXNB1/DSCAM/SLITRK3/S100B/CREB1/TNR/ENAH/BARHL2/UNC5C/SCN1B/SZT2/KIF5A/DSCAML1/LRIG2/FBXO45/OLFM1/PLXNA4/RTN4RL1/RAB21/TBC1D24/SMURF1/OLIG2/UNC5A/POU4F2/TRIM46/SEMA4A/KIAA1755/NUMBL/WDR47/MAP1A/MAPT/SEMA4G/LRRC4C/SMAD4/EPHB6/IGSF9/RTN4/SLITRK1/APBB1/DCLK1/SOS1/NECTIN1/NMNAT2/SLIT2/DIP2B/B4GALT6/SLIT1/NOG/LHX2/DLX5/CDKL5/PPP3CB/EVX1/ANAPC2/ADGRB1/APLP1/SPAST/LRTM1/SEMA6B/ACTB/SIN3A/SPP1/MACF1/FZD3/MAP1S/ULK2/OLIG1/PRDM8/GDI1/VASH2/DOCK7/BRAF/CNTN2/CYFIP2/RAB3A/FEZ1/PAK1/ULK1/ADARB1/NLGN3/EIF4G2/SEMA4C/NRXN3/L1CAM/NFIB/NGFR/ARX/MYCBP2/ATOH1/SEMA4D/NTRK2/OPHN1/GLI2/TRAK1/NTN1/ARHGAP35/BMPR2/PRICKLE1/ZFYVE27/BRSK1/KLF7/IGF1R/PUM2/BMPR1B/PLXNA3/KEL/FEZF2/SYNGAP1/GLI3/NKX6-1/NIN/CDH4/LLGL1/NRCAM/PAFAH1B1/EPHB2/EFNA2/CAMSAP2/BRSK2/CDK5R1/ROBO1/NEO1/KIF5C/ARHGEF25/CDH2/NEUROG2/WNT3/PAK2/SEMA5A/GSK3B/FYN/SEMA3A/EFNB3/OLIG3/RAPH1/CNR1/RTN4RL2/NOTCH1/SEMA6C/EFNA5/STXBP1/NFASC/LHX4/BOC/VAX2/PAX6/PTCH1/FOXD1/ROBO2/WNT7A/PLXNA1/NEFL/EPHA5/ADNP/MAP6/PLP1/PTPRS/ARK2C/NCAM1/TRIO/MAP1B/B4GALT5/ANK3/RGMA/DPYSL5/ISLR2/SEMA5B/POU4F1/TUBB2B/TIAM1/LHX1/SEMA6A/EPHB1/DCC/PTPRZ1/POU3F2/NOVA2/ADCY1/ROBO3/MAP2/RND2/BCL11B/GBX2/SLITRK5/EFNB2/KALRN/DAB1/HOXA2/TIAM2/AUTS2/DRAXIN
GO:0051607	defense response to virus	253	0.4573406417732342	2.3171460257840564	1e-10	1.586170824850192e-8	1.0733486784700549e-8	4178	tags=38%, list=19%, signal=31%	BST2/DDIT4/IFI6/IFIT1/ISG15/IRF2/HERC5/NMB/DHX58/GARIN5A/TRIM38/IFITM1/IFITM3/BNIP3/DDX60/DTX3L/OAS2/IFI16/PMAIP1/IRF1/IFI44L/STING1/PARP9/TRIM21/PQBP1/ZC3H12A/TNFAIP3/CD40/TRIM65/DDX60L/SAMHD1/PYCARD/ITGAX/VAMP8/SHFL/OAS1/IFNLR1/F2RL1/MX1/IFIT2/ISG20/APOBEC3C/RSAD2/NLRX1/GBP1/SPON2/TRIM22/NT5C3A/POLR3G/GBP2/PHB1/BCL2L1/IFI27/APOBEC3F/BECN1/MICA/OAS3/TRIM56/MOV10/IRF7/CSNK1A1/TRAF3IP2/ZDHHC11/BNIP3L/APOBEC3G/ZDHHC12/IRF5/ATG16L1/NCK1/SLFN11/TSPAN32/STAT1/AIM2/TRIM25/FADD/ZC3HAV1/ATG5/DMBT1/KCNJ8/AIMP1/SELENOK/ZNF175/ABCF3/IFIH1/IKBKE/IFIT5/DHX16/IRF3/UBE2W/UNC93B1/SKP2/AZI2/GBP5/GBP3/DUS2/MUL1
GO:0140546	defense response to symbiont	253	0.4573406417732342	2.3171460257840564	1e-10	1.586170824850192e-8	1.0733486784700549e-8	4178	tags=38%, list=19%, signal=31%	BST2/DDIT4/IFI6/IFIT1/ISG15/IRF2/HERC5/NMB/DHX58/GARIN5A/TRIM38/IFITM1/IFITM3/BNIP3/DDX60/DTX3L/OAS2/IFI16/PMAIP1/IRF1/IFI44L/STING1/PARP9/TRIM21/PQBP1/ZC3H12A/TNFAIP3/CD40/TRIM65/DDX60L/SAMHD1/PYCARD/ITGAX/VAMP8/SHFL/OAS1/IFNLR1/F2RL1/MX1/IFIT2/ISG20/APOBEC3C/RSAD2/NLRX1/GBP1/SPON2/TRIM22/NT5C3A/POLR3G/GBP2/PHB1/BCL2L1/IFI27/APOBEC3F/BECN1/MICA/OAS3/TRIM56/MOV10/IRF7/CSNK1A1/TRAF3IP2/ZDHHC11/BNIP3L/APOBEC3G/ZDHHC12/IRF5/ATG16L1/NCK1/SLFN11/TSPAN32/STAT1/AIM2/TRIM25/FADD/ZC3HAV1/ATG5/DMBT1/KCNJ8/AIMP1/SELENOK/ZNF175/ABCF3/IFIH1/IKBKE/IFIT5/DHX16/IRF3/UBE2W/UNC93B1/SKP2/AZI2/GBP5/GBP3/DUS2/MUL1
GO:0009615	response to virus	335	0.4371525802291013	2.309553603965422	1e-10	1.586170824850192e-8	1.0733486784700549e-8	4178	tags=36%, list=19%, signal=29%	BST2/DDIT4/IFI6/IFIT1/CXCL12/ISG15/IRF2/HERC5/ACTA2/NMB/DHX58/GARIN5A/PIM2/TRIM38/IFITM1/IFITM3/BNIP3/BCL3/DDX60/DTX3L/OAS2/IFI16/PMAIP1/IRF1/IFI44L/STING1/WDFY4/LGALS8/PARP9/TRIM21/ENO1/PQBP1/ZC3H12A/TNFAIP3/CD40/TRIM65/DDX60L/SAMHD1/PYCARD/ITGAX/VAMP8/SHFL/OAS1/IFNLR1/APOB/F2RL1/NMI/MX1/IFIT2/ISG20/APOBEC3C/RSAD2/NLRX1/GBP1/TNFSF4/ITGB6/SPON2/TRIM22/NT5C3A/POLR3G/JAK1/GBP2/PHB1/BCL2L1/IFNGR1/IFI27/APOBEC3F/IFI44/BECN1/MICA/OAS3/TRIM56/MOV10/IRF7/CSNK1A1/TRAF3IP2/ZDHHC11/BNIP3L/MIR130A/CDK6/DDX3X/APOBEC3G/ZDHHC12/IRF5/ATG16L1/NCK1/SLFN11/TSPAN32/STAT1/AIM2/TRIM25/FADD/ZC3HAV1/ATG5/DMBT1/KCNJ8/AIMP1/SELENOK/ZNF175/ABCF3/IFIH1/IKBKE/IFIT5/DHX16/NPC2/IRF3/UBE2W/HSPB1/UNC93B1/SKP2/YJU2B/AZI2/GBP5/GBP3/IRAK3/NFKB1/DUS2/EXT1/MUL1
GO:0021543	pallium development	179	-0.4813788381193082	-2.302269977823189	1e-10	1.586170824850192e-8	1.0733486784700549e-8	3297	tags=40%, list=15%, signal=34%	EZH2/MECP2/RTN4/LRP8/KIRREL3/ARHGAP11B/KCNA2/SLIT2/PPP1R9B/LHX2/WDR62/FAT4/CNTNAP2/TUBA1A/H2AX/TACC3/TSC1/SEMA6B/SRD5A1/SLC32A1/KDM1A/ADGRG1/TACC1/FEZ1/SRGAP2/ARX/ATOH1/NTRK2/CSNK2A2/PHACTR1/FOXP2/IGF1R/PLXNA3/FEZF2/DAB2IP/GLI3/EGFR/KIF14/PAFAH1B1/ALK/DCLK2/PAX5/BCAN/LEF1/CDK5R1/DLX2/ROBO1/ATP2B4/CDH2/SUN2/ATAT1/GSK3B/ASPM/NF1/MDGA1/ZIC3/PAX6/ZMIZ1/DLX1/AKIRIN2/IGF2BP1/KDM6B/NEFL/ATIC/EPHA5/PTPRS/TUBB2B/POU3F2/DAB1/POU3F3/GRIA1
GO:0007411	axon guidance	224	-0.46241647923226104	-2.2912260195303285	1e-10	1.586170824850192e-8	1.0733486784700549e-8	2921	tags=34%, list=13%, signal=30%	SOS1/NECTIN1/SLIT2/SLIT1/NOG/LHX2/DLX5/EVX1/LRTM1/SEMA6B/FZD3/CNTN2/CYFIP2/FEZ1/SEMA4C/NRXN3/L1CAM/NFIB/NGFR/ARX/MYCBP2/ATOH1/SEMA4D/OPHN1/GLI2/NTN1/ARHGAP35/BMPR2/KLF7/BMPR1B/PLXNA3/FEZF2/GLI3/CDH4/NRCAM/EPHB2/EFNA2/CDK5R1/ROBO1/NEO1/KIF5C/ARHGEF25/WNT3/SEMA5A/FYN/SEMA3A/EFNB3/NOTCH1/SEMA6C/EFNA5/NFASC/LHX4/BOC/PAX6/PTCH1/FOXD1/ROBO2/PLXNA1/EPHA5/ARK2C/NCAM1/TRIO/DPYSL5/SEMA5B/TUBB2B/LHX1/SEMA6A/EPHB1/DCC/NOVA2/ROBO3/BCL11B/GBX2/EFNB2/KALRN/HOXA2/DRAXIN
GO:0097485	neuron projection guidance	224	-0.46241647923226104	-2.2912260195303285	1e-10	1.586170824850192e-8	1.0733486784700549e-8	2921	tags=34%, list=13%, signal=30%	SOS1/NECTIN1/SLIT2/SLIT1/NOG/LHX2/DLX5/EVX1/LRTM1/SEMA6B/FZD3/CNTN2/CYFIP2/FEZ1/SEMA4C/NRXN3/L1CAM/NFIB/NGFR/ARX/MYCBP2/ATOH1/SEMA4D/OPHN1/GLI2/NTN1/ARHGAP35/BMPR2/KLF7/BMPR1B/PLXNA3/FEZF2/GLI3/CDH4/NRCAM/EPHB2/EFNA2/CDK5R1/ROBO1/NEO1/KIF5C/ARHGEF25/WNT3/SEMA5A/FYN/SEMA3A/EFNB3/NOTCH1/SEMA6C/EFNA5/NFASC/LHX4/BOC/PAX6/PTCH1/FOXD1/ROBO2/PLXNA1/EPHA5/ARK2C/NCAM1/TRIO/DPYSL5/SEMA5B/TUBB2B/LHX1/SEMA6A/EPHB1/DCC/NOVA2/ROBO3/BCL11B/GBX2/EFNB2/KALRN/HOXA2/DRAXIN
GO:0007416	synapse assembly	189	-0.47615816217660967	-2.2857319170363346	1e-10	1.586170824850192e-8	1.0733486784700549e-8	4560	tags=43%, list=21%, signal=34%	LRRC4/CRKL/PLXNB1/ARHGEF9/DSCAM/SLITRK3/PCDHB9/NLGN4X/FBXO45/SPTBN2/SEMA4A/CLSTN3/LRFN4/OGT/PCDHB6/MECP2/SHANK3/KIRREL3/MEF2C/SLITRK1/NECTIN1/SLIT1/CLSTN2/PCDH17/ADGRB1/PTPRD/PCDHB3/IL1RAPL2/CLSTN1/GABRB3/NRXN2/CUX2/SRGAP2/NLGN3/FZD5/GHRL/ADGRL3/MYCBP2/SEMA4D/NTRK2/PCLO/NLGN2/NTN1/LRRN1/LRFN3/IL1RAPL1/PCDHB2/NRCAM/EPHB2/LGI2/NRG3/DNER/CDH2/PCDHB5/SHANK2/LRRTM3/SETD5/THBS2/ADGRB3/EFNB3/PCDHB4/MDGA1/EFNA5/ROBO2/CHD4/WNT7A/ADNP/PTPRS/SRPX2/MAP1B/BSN/ADD2/LZTS1/POU4F1/EPHB1/ERBB4/SLITRK5/GPC4/ST8SIA2/PCDHB16/GRIA1
GO:0140053	mitochondrial gene expression	162	0.4737374658090712	2.2762867174107866	1.0146082035289075e-10	1.586170824850192e-8	1.0733486784700549e-8	7755	tags=67%, list=35%, signal=44%	MRPL17/MRPL40/MRPL58/GADD45GIP1/MRPL45/MRPL24/MRPS28/MRPL34/AURKAIP1/MRPS7/TFB2M/TFB1M/MRPL49/MRPS26/MRPS18B/MRPL28/GFM2/CHCHD10/MRPL57/MRPL10/MRPS9/MRPL43/YARS2/MRPL55/FASTKD5/MRPL36/FASTKD3/FASTK/MRPL18/DAP3/UQCC2/MALSU1/ALKBH1/MRPS31/CHCHD1/PTCD3/MRPS35/IARS2/MRPS17/MRPL13/MRPS18C/TRIT1/MRPS10/CDK5RAP1/MRPS18A/RARS2/MTERF4/MRPL32/MRPL54/MTRES1/COA3/MRPS21/MRPL47/MTERF3/MRPL14/TRMT5/MRPS22/PRKAA1/MRPL39/MTERF2/C1QBP/MRPL20/GATB/RCC1L/MRPL3/MRPL27/MRPS15/MRPL9/TUFM/MRPL1/TRMT10C/MRPL15/MRPS27/EARS2/PNPT1/HSD17B10/TARS2/SHMT2/FASTKD1/MTERF1/HARS1/METTL8/NSUN3/MTIF2/WARS2/MRPL22/MRPS23/TFAM/GATC/TEFM/MTIF3/MRPL21/MRPL33/THAP11/GFM1/MRPS6/MRPS34/QRSL1/MRPS33/MRPL30/MRPS24/MTO1/MRPS16/MRPS25/RPUSD3/TSFM/NGRN/TRUB2/TWNK
GO:0010975	regulation of neuron projection development	432	-0.42736584262722876	-2.2448938903474644	1e-10	1.586170824850192e-8	1.0733486784700549e-8	4537	tags=40%, list=21%, signal=32%	DDR2/AKT1/CRKL/PLXNB1/DSCAM/PRRX1/TNR/HECW2/SCN1B/EHD1/LRIG2/PLXNA4/RTN4RL1/AP2A1/TRPV4/NDRG4/RAB21/TBC1D24/SMURF1/POU4F2/TRIM46/SEMA4A/DTNBP1/HDAC2/MAPT/SEMA4G/LRRC4C/CAPRIN1/ZDHHC15/HECW1/EZH2/CSMD3/KIF1A/RTN4/NCS1/LRP8/SHANK3/SLITRK1/SF3A2/SLIT2/DIP2B/SLIT1/CARM1/TANC2/CDKL5/CBFA2T2/ANAPC2/PTPRD/EP300/CCDC88A/PLPPR5/PLK5/SEMA6B/SPP1/ALKAL2/MACF1/KDM1A/ULK2/PARP6/GDI1/TNIK/BRAF/SPOCK1/CNTN2/FUT9/SRCIN1/PPFIA2/FEZ1/PAK1/ULK1/CUX2/EIF4G2/VLDLR/SEMA4C/DENND5A/PREX1/L1CAM/MYCBP2/SEMA4D/NTRK2/TENM3/KIDINS220/TRAK1/NTN1/ARHGAP35/BMPR2/IL1RAPL1/ZFYVE27/BRSK1/IGF1R/PUM2/RAPGEF1/PLXNA3/KEL/FEZF2/LRRC7/SYNGAP1/DAB2IP/NIN/ACAP3/CDH4/NRCAM/PAFAH1B1/ALK/ATP1B2/TRIM67/ENC1/KAT2B/EPHB2/CAMSAP2/ADCY6/BRSK2/CDK5R1/ROBO1/NEO1/CDH2/WNT3/PAK2/ABL2/SEMA5A/GSK3B/DPYSL3/FYN/SEMA3A/ADGRB3/EFNB3/ABI2/CNR1/RTN4RL2/PRAG1/SEMA6C/EFNA5/STX1B/PAX6/ROBO2/WNT7A/SS18L1/PLXNA1/NEFL/ADNP/PTPRG/MAP6/PTPRS/DBN1/SEZ6/MAP1B/RGMA/DPYSL5/BCL11A/LZTS1/ARHGAP33/ISLR2/SEMA5B/TUBB2B/TIAM1/SEMA6A/CRMP1/GFAP/DCC/POU3F2/NOVA2/GPC2/ROBO3/MAP2/RND2/NTRK3/NR2F1/EFNB2/DAB1/TIAM2/NEDD4L/DRAXIN
GO:0030900	forebrain development	380	-0.42164807289834155	-2.19702445211512	1e-10	1.586170824850192e-8	1.0733486784700549e-8	4350	tags=41%, list=20%, signal=33%	CREB1/TNR/TUBB2A/SZT2/ZIC1/FBXO45/PLXNA4/CCDC85C/RTN4RL1/EZH1/WDR37/SCYL2/FRS2/OLIG2/TACC2/KCNC2/NUMBL/WDR47/ATP1A2/SOX1/KAT2A/ITGAM/EZH2/MECP2/HPRT1/RTN4/LRP8/SHANK3/KIRREL3/ARHGAP11B/SIX3/KCNA2/DCLK1/SLIT2/PPP1R9B/SLIT1/NOG/LHX2/SALL1/WDR62/DLX5/FAT4/CNTNAP2/CHD7/SRC/TUBA1A/H2AX/APLP1/TACC3/KCNA3/TSC1/SEMA6B/SRD5A1/SLC32A1/SIN3A/KDM1A/PRDM8/WNT1/DOCK7/PTCHD1/ADGRG1/CNTN2/KRAS/TACC1/FEZ1/GHRHR/SRGAP2/WNT2B/NFIB/ARX/ZSWIM6/ATOH1/NTRK2/OPHN1/GLI2/CSNK2A2/PHACTR1/ARHGAP35/FOXP2/IGF1R/PLXNA3/FEZF2/DAB2IP/GLI3/EGFR/KIF14/NIN/PAFAH1B1/ALK/ATP1B2/RFX4/EPHB2/DCLK2/SKI/KCNC1/EFNA2/PAX5/BCAN/LEF1/CDK5R1/DLX2/ROBO1/NRG3/CORO1C/ATP2B4/CDH2/KDM2B/PGAP1/NEUROG2/SUN2/SEMA5A/ATAT1/GSK3B/ASPM/FYN/SEMA3A/NOTCH1/NF1/MDGA1/E2F1/ZIC3/LRP2/VAX2/PAX6/ZMIZ1/DLX1/AKIRIN2/IGF2BP1/KDM6B/ROBO2/WNT7A/PLXNA1/NEFL/ATIC/HERC1/EPHA5/PTPRS/POU4F1/TUBB2B/SLC1A2/LHX1/DCT/POU3F2/ERBB4/BCL11B/GBX2/SLITRK5/NR2F2/POU3F1/DAB1/POU3F3/DRAXIN/GRIA1/OTP
GO:0050803	regulation of synapse structure or activity	233	-0.44036058934276545	-2.195428049934424	1e-10	1.586170824850192e-8	1.0733486784700549e-8	3739	tags=37%, list=17%, signal=31%	SEMA4A/DTNBP1/VHL/ABHD17A/CLSTN3/LRFN4/PTPRT/OGT/CAPRIN1/SLC17A8/ABHD17C/ZDHHC15/IGSF9/CAMKV/ADGRL1/CTTNBP2/MECP2/KIF1A/LRP8/SHANK3/ASAP1/GRID1/MEF2C/SLITRK1/NECTIN1/SLIT1/TANC2/CDKL5/CLSTN2/GPR158/ANAPC2/TUBA1A/ADGRB1/PTPRD/IL1RAPL2/TUBB/CLSTN1/SRCIN1/PPFIA2/CUX2/NLGN3/GHRL/CDH8/MYCBP2/SEMA4D/NTRK2/NLGN2/NTN1/CHRNA7/LRRN1/LRFN3/IL1RAPL1/SYNGAP1/DAB2IP/NRCAM/PAFAH1B1/EPHB2/SLC17A7/CDK5R1/CDH2/SHANK2/LRRTM3/SETD5/THBS2/FYN/ADGRB3/EFNB3/ABI2/NF1/MDGA1/EFNA5/ROBO2/CHD4/WNT7A/NEFL/ADNP/PTPRS/SRPX2/DBN1/LZTS1/ARHGAP33/TIAM1/EPHB1/GRIN2B/SLITRK5/GPC4/ST8SIA2
GO:0050807	regulation of synapse organization	227	-0.4391585420217125	-2.1788807014676626	1e-10	1.586170824850192e-8	1.0733486784700549e-8	3739	tags=37%, list=17%, signal=31%	SEMA4A/DTNBP1/VHL/ABHD17A/CLSTN3/LRFN4/PTPRT/OGT/CAPRIN1/ABHD17C/ZDHHC15/IGSF9/CAMKV/ADGRL1/CTTNBP2/MECP2/KIF1A/LRP8/SHANK3/ASAP1/GRID1/MEF2C/SLITRK1/NECTIN1/SLIT1/TANC2/CDKL5/CLSTN2/GPR158/ANAPC2/TUBA1A/ADGRB1/PTPRD/IL1RAPL2/TUBB/CLSTN1/SRCIN1/PPFIA2/CUX2/NLGN3/GHRL/CDH8/MYCBP2/SEMA4D/NTRK2/NLGN2/NTN1/CHRNA7/LRRN1/LRFN3/IL1RAPL1/DAB2IP/NRCAM/PAFAH1B1/EPHB2/CDK5R1/CDH2/SHANK2/LRRTM3/SETD5/THBS2/FYN/ADGRB3/EFNB3/ABI2/NF1/MDGA1/EFNA5/ROBO2/CHD4/WNT7A/NEFL/ADNP/PTPRS/SRPX2/DBN1/LZTS1/ARHGAP33/TIAM1/EPHB1/GRIN2B/SLITRK5/GPC4/ST8SIA2
